Parsed passed CNF file /home/cannon/Documents/cannon/build/formulas/random_3sat/N150L600_60.cnf as 
{
( !p83 v !p99 v p137 ),
( p11 v !p73 v !p127 ),
( p99 v p118 v !p121 ),
( p50 v p121 v !p127 ),
( p36 v !p49 v !p61 ),
( p63 v !p65 v p133 ),
( p25 v !p49 v !p105 ),
( !p106 v !p112 v p135 ),
( p36 v p77 v !p88 ),
( p39 v !p85 v !p128 ),
( !p51 v p77 v p122 ),
( p3 v !p128 v p134 ),
( p70 v !p105 v p115 ),
( p30 v p60 v p65 ),
( !p76 v p98 v p123 ),
( p21 v !p132 v !p134 ),
( p27 v !p89 v p93 ),
( !p6 v p27 v p29 ),
( p19 v !p86 v p106 ),
( p29 v !p42 v p80 ),
( !p0 v p9 v !p33 ),
( !p46 v !p91 v p105 ),
( p73 v !p74 v !p85 ),
( p24 v p130 v !p136 ),
( p23 v !p37 v p133 ),
( !p47 v !p59 v p124 ),
( !p60 v p94 v p145 ),
( !p64 v p79 v p140 ),
( !p22 v !p112 v !p133 ),
( p18 v p39 v !p115 ),
( !p37 v p64 v p108 ),
( !p30 v p41 v !p92 ),
( p20 v p65 v p102 ),
( p26 v !p125 v !p146 ),
( p12 v p29 v p126 ),
( !p40 v !p101 v !p122 ),
( p0 v !p1 v p32 ),
( p9 v p15 v !p61 ),
( p30 v p109 v p143 ),
( !p28 v !p82 v !p113 ),
( p40 v !p92 v p124 ),
( p37 v p80 v !p104 ),
( !p88 v p94 v p99 ),
( p27 v !p133 v p135 ),
( p45 v p50 v p108 ),
( !p2 v !p136 v p138 ),
( !p58 v p71 v !p110 ),
( !p55 v p57 v !p100 ),
( !p48 v p113 v p146 ),
( !p39 v !p86 v !p92 ),
( !p12 v !p46 v !p138 ),
( p24 v !p123 v !p147 ),
( p73 v !p128 v p141 ),
( p27 v p69 v p140 ),
( p22 v !p55 v !p107 ),
( p14 v !p57 v !p108 ),
( p5 v !p55 v !p135 ),
( !p55 v !p100 v !p109 ),
( p63 v p75 v p128 ),
( !p23 v p32 v !p45 ),
( p24 v !p90 v p101 ),
( p7 v p51 v !p68 ),
( p103 v p120 v p128 ),
( p21 v p37 v p98 ),
( p24 v !p69 v !p87 ),
( p22 v !p101 v p119 ),
( !p30 v p82 v !p104 ),
( !p28 v p109 v !p146 ),
( p38 v p59 v !p79 ),
( !p14 v !p47 v !p133 ),
( p5 v p59 v p109 ),
( p42 v !p52 v !p108 ),
( p0 v p82 v p107 ),
( !p24 v !p27 v p36 ),
( !p102 v !p127 v !p133 ),
( !p34 v !p117 v p149 ),
( !p69 v !p89 v !p134 ),
( !p73 v p79 v !p84 ),
( p28 v p84 v !p104 ),
( p47 v p60 v p67 ),
( !p86 v !p112 v p138 ),
( !p20 v !p69 v p133 ),
( !p42 v p100 v p138 ),
( !p20 v !p131 v p138 ),
( !p32 v p54 v p149 ),
