Parsed passed CNF file /home/cannon/Documents/cannon/build/formulas/random_3sat/N150L840_71.cnf as 
{
( !p31 v p69 v !p121 ),
( !p37 v !p61 v p71 ),
( p9 v p16 v !p43 ),
( p53 v !p61 v !p110 ),
( !p2 v p53 v p125 ),
( !p24 v !p127 v p137 ),
( p29 v p33 v !p111 ),
( p38 v !p92 v !p137 ),
( p20 v p60 v p121 ),
( !p30 v p44 v !p130 ),
( !p31 v !p49 v p51 ),
( p11 v !p106 v !p148 ),
( !p68 v !p96 v !p133 ),
( !p32 v p82 v p90 ),
( !p64 v p90 v p115 ),
( p9 v !p48 v !p105 ),
( !p100 v !p109 v !p119 ),
( p42 v p70 v p83 ),
( !p26 v !p133 v !p142 ),
( p63 v !p95 v p97 ),
( p46 v !p95 v p134 ),
( p5 v !p12 v p70 ),
( p94 v !p112 v !p138 ),
( p54 v p75 v !p103 ),
( p27 v !p55 v p104 ),
( !p85 v !p87 v !p123 ),
( !p71 v p141 v p143 ),
( p12 v !p129 v p140 ),
( p84 v p129 v !p136 ),
( !p23 v !p26 v !p55 ),
( !p59 v !p85 v !p140 ),
( p3 v !p17 v p85 ),
( !p10 v p70 v p94 ),
( p27 v !p76 v !p142 ),
( !p81 v !p92 v !p119 ),
( !p73 v !p86 v p137 ),
( !p8 v p55 v p79 ),
( !p15 v !p64 v p136 ),
( p25 v p121 v !p122 ),
( p32 v !p46 v !p93 ),
( !p29 v !p81 v p148 ),
( p16 v !p32 v p77 ),
( p62 v !p63 v !p64 ),
( p10 v !p28 v p91 ),
( !p67 v p94 v p123 ),
( p29 v !p97 v p127 ),
( p20 v !p54 v p107 ),
( p3 v p32 v p74 ),
( !p26 v p103 v !p146 ),
( !p3 v p76 v !p79 ),
( !p75 v !p79 v !p100 ),
( !p11 v !p96 v !p138 ),
( !p7 v p50 v !p133 ),
( !p86 v !p89 v !p117 ),
( !p32 v p41 v p141 ),
( p57 v p78 v p89 ),
( !p2 v p34 v !p82 ),
( p23 v p82 v !p129 ),
( p28 v p86 v p104 ),
( p5 v !p58 v !p84 ),
( p15 v !p36 v !p119 ),
( !p46 v !p58 v !p92 ),
( p14 v p100 v p111 ),
( p43 v !p116 v !p141 ),
( !p59 v p118 v p144 ),
( p11 v p46 v !p50 ),
( p42 v p109 v !p111 ),
( p22 v !p74 v !p84 ),
( p57 v p58 v p119 ),
( p25 v !p48 v !p107 ),
( p14 v !p27 v p107 ),
( p47 v !p74 v !p144 ),
( !p1 v !p55 v p140 ),
( !p3 v !p97 v !p129 ),
( !p50 v !p52 v p53 ),
( p5 v p99 v !p129 ),
( !p20 v p48 v !p146 ),
( !p8 v !p63 v p112 ),
( !p0 v p29 v p136 ),
( p39 v p48 v !p84 ),
( !p83 v !p134 v !p146 ),
( p99 v p118 v p122 ),
( !p26 v p31 v !p75 ),
( !p1 v !p97 v !p117 ),
( !p48 v !p49 v !p133 ),
( !p26 v p75 v !p116 ),
( p40 v !p76 v p116 ),
( p6 v p11 v !p144 ),
( !p25 v p52 v !p101 ),
( p0 v !p19 v p46 ),
( p13 v p35 v !p82 ),
( !p15 v !p105 v p134 ),
( !p32 v p117 v p119 ),
( p19 v !p122 v p128 ),
( p82 v p103 v p131 ),
( !p41 v p79 v !p85 ),
( p20 v !p37 v p115 ),
( !p53 v !p86 v !p112 ),
( !p55 v !p126 v p133 ),
( p3 v p50 v p106 ),
( p38 v p66 v !p129 ),
( p23 v !p59 v !p81 ),
( !p38 v p76 v p96 ),
( p57 v p65 v p145 ),
( !p59 v !p82 v !p128 ),
( !p50 v p76 v p109 ),
( !p41 v !p79 v p90 ),
( p60 v !p102 v !p125 ),
( p10 v p56 v !p135 ),
( p123 v !p135 v !p140 ),
( !p32 v p57 v p131 ),
( p20 v !p79 v p134 ),
( !p16 v !p31 v !p130 ),
( !p9 v p34 v p113 ),
( p51 v p77 v p143 ),
( !p0 v !p35 v p88 ),
( p115 v p121 v p123 ),
( !p112 v !p125 v !p127 ),
( !p25 v p43 v p56 ),
( p41 v !p67 v p129 ),
( !p13 v p23 v p68 ),
( p46 v !p96 v p104 ),
( p63 v p111 v !p128 ),
( p16 v p86 v !p148 ),
( !p82 v !p119 v !p147 ),
( !p16 v !p56 v !p80 ),
( p15 v p51 v !p131 ),
( !p22 v p27 v p47 ),
( p2 v !p41 v !p50 ),
( !p8 v !p62 v !p97 ),
( !p13 v p46 v p142 ),
( !p77 v !p102 v p140 ),
( !p40 v p99 v p128 ),
( !p6 v !p9 v p28 ),
( !p37 v p68 v !p127 ),
( p41 v !p115 v p117 ),
( p76 v !p92 v p141 ),
( !p93 v p105 v !p120 ),
( p2 v !p126 v p133 ),
( !p53 v !p60 v !p98 ),
( p81 v !p108 v p134 ),
( !p42 v !p89 v p144 ),
( !p32 v !p91 v p118 ),
( !p21 v !p33 v !p55 ),
( p27 v p84 v p110 ),
( p30 v !p42 v !p139 ),
( p4 v p21 v !p140 ),
( p2 v !p9 v !p69 ),
( !p66 v !p97 v p105 ),
( p38 v p78 v !p129 ),
( !p43 v p55 v !p149 ),
( p46 v p116 v p136 ),
( p5 v p121 v !p132 ),
( p48 v !p134 v p135 ),
( p100 v p103 v !p107 ),
( p36 v !p60 v p92 ),
( !p2 v p4 v p111 ),
( p93 v !p97 v p107 ),
( !p50 v p54 v p56 ),
( p71 v p102 v !p105 ),
( p18 v !p99 v p117 ),
( !p15 v !p56 v p81 ),
( !p51 v !p76 v !p111 ),
( !p26 v !p107 v !p131 ),
( p7 v !p76 v p119 ),
( p39 v p100 v !p123 ),
( !p19 v p21 v !p110 ),
( !p8 v !p16 v p95 ),
( p40 v !p45 v !p67 ),
( !p21 v p96 v !p99 ),
( p18 v !p115 v !p141 ),
( !p24 v p113 v !p148 ),
( !p45 v p120 v p125 ),
( p54 v p107 v !p140 ),
( p53 v p74 v !p123 ),
( p34 v !p116 v p147 ),
( p20 v p42 v !p143 ),
( !p9 v !p65 v !p93 ),
( p23 v !p47 v !p62 ),
( p59 v p82 v !p149 ),
( !p3 v p5 v !p63 ),
( p72 v p116 v !p148 ),
( p26 v !p71 v p84 ),
( p15 v p49 v p65 ),
( !p23 v !p33 v !p92 ),
( p19 v p45 v p141 ),
( p33 v p44 v p135 ),
( p27 v p86 v p87 ),
( !p21 v !p44 v !p99 ),
( p62 v p119 v p138 ),
( !p38 v !p50 v !p138 ),
( !p32 v !p107 v p113 ),
( p34 v p65 v p80 ),
( p28 v p68 v p106 ),
( p35 v p77 v !p136 ),
( !p17 v p110 v !p130 ),
( p11 v p94 v p97 ),
( !p79 v !p82 v p136 ),
( p79 v p135 v p147 ),
( !p31 v p66 v p129 ),
( !p1 v p34 v !p79 ),
( !p16 v !p21 v !p86 ),
( !p11 v !p31 v p148 ),
( p53 v !p55 v p121 ),
( p4 v p50 v !p74 ),
( !p39 v !p104 v !p143 ),
( p21 v !p58 v p142 ),
( p5 v p130 v !p139 ),
( p36 v !p73 v !p117 ),
( p12 v !p56 v p86 ),
( p18 v p47 v p144 ),
( p53 v p114 v !p142 ),
( !p0 v !p35 v !p118 ),
( p14 v !p40 v !p63 ),
( !p60 v p68 v !p78 ),
( p14 v p21 v p139 ),
( !p31 v p41 v !p102 ),
( !p95 v p131 v !p135 ),
( p17 v !p39 v !p81 ),
( p52 v p78 v !p96 ),
( !p22 v !p41 v !p103 ),
( !p5 v !p121 v p133 ),
( p73 v p122 v p130 ),
( p34 v p95 v p131 ),
( p54 v !p63 v !p149 ),
( !p0 v p30 v !p64 ),
( !p61 v !p101 v !p102 ),
( !p4 v !p56 v !p118 ),
( !p35 v !p48 v !p81 ),
( p30 v !p69 v p107 ),
( !p84 v !p133 v p148 ),
( !p29 v p37 v p89 ),
( p92 v p116 v p130 ),
( !p7 v !p9 v p53 ),
( p19 v !p43 v !p90 ),
( !p108 v !p121 v p127 ),
( !p19 v !p74 v !p81 ),
( p71 v p118 v !p144 ),
( p12 v p85 v p86 ),
( !p45 v p108 v !p148 ),
( !p46 v !p121 v p149 ),
( !p41 v !p48 v p145 ),
( !p12 v !p32 v p144 ),
