Parsed passed CNF file formulas/random_3sat/N100L300_32.cnf as 
{
( p2 v !p16 v !p68 ),
( p24 v !p28 v p54 ),
( !p30 v p82 v !p99 ),
( p0 v !p29 v !p48 ),
( !p21 v !p55 v p59 ),
( p3 v p6 v !p14 ),
( !p9 v !p74 v !p86 ),
( p5 v !p31 v p96 ),
( p5 v !p40 v !p56 ),
( p17 v !p26 v p35 ),
( p25 v !p61 v p86 ),
( p11 v p17 v p46 ),
( !p36 v p49 v p88 ),
( !p19 v p27 v p55 ),
( !p0 v p39 v !p95 ),
( !p39 v p48 v p86 ),
( !p40 v !p62 v !p99 ),
( p7 v !p64 v p87 ),
( p44 v !p52 v p79 ),
( p12 v p27 v !p34 ),
( !p32 v p38 v p45 ),
( !p29 v !p38 v p42 ),
( p42 v !p61 v !p63 ),
( p2 v !p40 v !p71 ),
( p61 v !p76 v !p85 ),
( !p9 v !p19 v p34 ),
( p11 v !p45 v p99 ),
( p44 v !p76 v p85 ),
( !p28 v !p68 v p76 ),
( !p5 v !p23 v !p65 ),
( p36 v p61 v !p94 ),
( p21 v !p75 v p98 ),
( !p25 v !p52 v p76 ),
( p7 v !p36 v p69 ),
( !p39 v p45 v p48 ),
( p6 v !p55 v !p84 ),
( p14 v !p29 v !p81 ),
( p44 v p57 v !p61 ),
( !p2 v p16 v p50 ),
( p34 v p61 v p95 ),
( !p1 v p18 v p55 ),
( !p14 v !p56 v !p93 ),
( !p17 v !p59 v !p79 ),
( p10 v !p36 v p84 ),
( p42 v p58 v p71 ),
( p37 v p54 v !p83 ),
( p38 v p54 v p57 ),
( p14 v p51 v !p75 ),
( !p9 v p27 v !p36 ),
( p49 v !p53 v p65 ),
( p38 v p72 v p73 ),
( !p17 v p32 v p38 ),
( p19 v !p66 v !p97 ),
( p5 v !p41 v p63 ),
( !p19 v p43 v !p93 ),
( p7 v p55 v !p63 ),
( p33 v !p54 v !p85 ),
( !p23 v !p67 v !p77 ),
( !p49 v p65 v p81 ),
( !p40 v !p49 v p72 ),
( !p21 v !p62 v !p79 ),
( p2 v p17 v p70 ),
( !p26 v p35 v p84 ),
( p28 v p36 v !p95 ),
( p35 v !p57 v p85 ),
( !p39 v p70 v !p72 ),
( !p14 v !p20 v p78 ),
( p58 v !p76 v !p94 ),
( p29 v p40 v p99 ),
( p42 v p46 v !p59 ),
( p22 v !p26 v p96 ),
( !p23 v !p72 v p76 ),
( p0 v !p55 v p76 ),
( p10 v p47 v p85 ),
( !p8 v !p23 v !p60 ),
( p27 v !p49 v p97 ),
( !p46 v !p76 v !p94 ),
( !p1 v p17 v p63 ),
( p20 v !p85 v p88 ),
( p35 v p42 v !p79 ),
( !p5 v !p56 v p93 ),
( !p12 v !p47 v !p79 ),
( !p32 v p72 v p98 ),
( p1 v !p13 v p19 ),
( p24 v !p45 v p81 ),
( p7 v !p19 v p53 ),
( !p59 v !p93 v p95 ),
( p18 v p31 v p40 ),
( p7 v p30 v p53 ),
( !p50 v !p54 v !p93 ),
( p6 v p10 v p57 ),
( !p18 v !p82 v !p93 ),
( p35 v p51 v p69 ),
( !p14 v p15 v !p20 ),
( p71 v !p84 v !p96 ),
( p11 v p19 v !p31 ),
( !p23 v p38 v p98 ),
( !p36 v p62 v p82 ),
( !p23 v !p30 v !p97 ),
( p26 v p46 v !p47 ),
( p18 v !p25 v !p42 ),
( !p70 v !p82 v p87 ),
( !p5 v p42 v !p63 ),
( p14 v p42 v p94 ),
( !p12 v !p20 v !p44 ),
( p47 v p88 v p99 ),
( p20 v p58 v !p96 ),
( p0 v !p57 v p66 ),
( !p31 v !p64 v p73 ),
( !p18 v !p22 v p51 ),
( !p45 v p77 v p88 ),
( !p15 v p35 v p87 ),
( !p15 v p78 v !p90 ),
( !p50 v !p54 v !p94 ),
( !p39 v p62 v !p66 ),
( !p13 v !p76 v !p96 ),
( !p1 v p9 v p23 ),
( p34 v p46 v !p79 ),
( !p34 v p80 v p99 ),
( p15 v !p49 v !p58 ),
( p12 v !p26 v p96 ),
( !p5 v p57 v p86 ),
( !p7 v !p18 v p49 ),
( p7 v !p82 v p85 ),
( p47 v !p75 v !p98 ),
( !p13 v p30 v p64 ),
( p21 v !p76 v p79 ),
( p59 v !p73 v p75 ),
( !p67 v p82 v p98 ),
( p8 v p73 v !p79 ),
( p43 v !p48 v !p64 ),
( p32 v p53 v p90 ),
( p32 v p79 v p80 ),
( p26 v p35 v !p89 ),
( !p31 v !p71 v p93 ),
( p26 v p72 v !p77 ),
( p3 v p68 v !p70 ),
( !p42 v p68 v p69 ),
( p51 v !p59 v p70 ),
( !p32 v p83 v p87 ),
( p13 v p15 v !p70 ),
( !p74 v !p94 v !p98 ),
( !p53 v !p81 v !p88 ),
( !p62 v !p78 v p84 ),
( !p30 v !p51 v p55 ),
( p68 v p71 v p90 ),
( p32 v !p92 v p95 ),
( p9 v p18 v !p40 ),
( p5 v !p58 v p80 ),
( !p18 v !p35 v p46 ),
( p11 v p30 v !p76 ),
( p44 v p64 v !p81 ),
( !p8 v !p45 v p95 ),
( p19 v p58 v p63 ),
( p20 v p51 v p87 ),
( p32 v !p44 v p89 ),
( p46 v p82 v p91 ),
( !p10 v !p39 v p87 ),
( p66 v p79 v p82 ),
( !p8 v p36 v !p92 ),
( p1 v p8 v !p52 ),
( p28 v p43 v p88 ),
( p4 v p32 v p48 ),
( p35 v !p43 v p83 ),
( !p25 v !p45 v p79 ),
( !p1 v !p66 v p80 ),
( p10 v !p52 v !p67 ),
( !p58 v !p64 v !p73 ),
( p3 v p10 v p15 ),
( !p54 v p83 v !p86 ),
